"refID","kw_original","token","corrected"
"1","aedes","aedes","aides"
"1","competitive displacement","competitive","competitive"
"1","competitive displacement","displacement","displacement"
"1","dengue virus","dengue","dengue"
"1","dengue virus","virus","virus"
"1","mosquito","mosquito","mosquito"
"1","rna interference","rna","RNA"
"1","rna interference","interference","interference"
"1","trade-off","trade","trade"
"1","trade-off","off","off"
"1","vector","vector","vector"
"10","chew","chew","chew"
"10","diet evolution","diet","diet"
"10","diet evolution","evolution","evolution"
"10","feeding","feeding","feeding"
"10","functional morphology","functional","functional"
"10","functional morphology","morphology","morphology"
"10","gnaw","gnaw","gnaw"
"10","myomorph","myomorph","morph"
"10","natural selection","natural","natural"
"10","natural selection","selection","selection"
"10","phylogenetic path analysis","phylogenetic","phylogenetic"
"10","phylogenetic path analysis","path","path"
"10","phylogenetic path analysis","analysis","analysis"
"10","rodentia","rodentia","rodent"
"10","sigmodontines","sigmodontines","periodontists"
"100","aedeagus","aedeagus","demagogues"
"100","carabidae","carabidae","carbide"
"100","geometric morphometrics","geometric","geometric"
"100","geometric morphometrics","morphometrics","psychometric"
"100","interspecific hybridization","interspecific","inter specific"
"100","interspecific hybridization","hybridization","hybridization"
"100","paramere","paramere","para mere"
"100","reproductive character displacement","reproductive","reproductive"
"100","reproductive character displacement","character","character"
"100","reproductive character displacement","displacement","displacement"
"100-1","amazonas","amazonas","amazons"
"100-1","brazil","brazil","Brazil"
"100-1","dung beetle","dung","dung"
"100-1","dung beetle","beetle","beetle"
"100-1","forest fragmentation","forest","forest"
"100-1","forest fragmentation","fragmentation","fragmentation"
"100-1","matrix habitat","matrix","matrix"
"100-1","matrix habitat","habitat","habitat"
"100-1","rain forest","tropical","tropical"
"100-1","rain forest","rainforest","rain forest"
"100-1","recovery","recovery","recovery"
"100-1","secondary vegetation","secondary","secondary"
"100-1","secondary vegetation","vegetation","vegetation"
"100-10","allee effects","allee","allele"
"100-10","allee effects","effects","effects"
"100-10","evolution of periodicity","evolution","evolution"
"100-10","evolution of periodicity","of","of"
"100-10","evolution of periodicity","periodicity","periodicity"
"100-10","magicicada","magicicada","magi cicada"
"100-10","rock-paper-scissors competition","rock","rock"
"100-10","rock-paper-scissors competition","paper","paper"
"100-10","rock-paper-scissors competition","scissors","scissors"
"100-10","rock-paper-scissors competition","competition","competition"
"100-10","spatial dynamics","spatial","spatial"
"100-10","spatial dynamics","dynamics","dynamics"
"100-100","antarctic fur seals","antarctic","antarctic"
"100-100","antarctic fur seals","fur","fur"
"100-100","antarctic fur seals","seals","seals"
"100-100","bird island","bird","bird"
"100-100","bird island","island","island"
"100-100","south georgia","south","south"
"100-100","south georgia","georgia","Georgia"
"100-100","climate perturbations","climate","climate"
"100-100","climate perturbations","perturbations","perturbations"
"100-100","demography","demography","demography"
"100-100","el niño","el","e"
"100-100","el niño","niño","onion"
"100-100","environmental autocorrelation","environmental","environmental"
"100-100","environmental autocorrelation","autocorrelation","autocorrelation"
"100-100","fur seal pup production","fur","fur"
"100-100","fur seal pup production","seal","seal"
"100-100","fur seal pup production","pup","pup"
"100-100","fur seal pup production","production","production"
"100-100","mixed-effects models","mixed","mixed"
"100-100","mixed-effects models","effects","effects"
"100-100","mixed-effects models","models","models"
"100-100","power spectrum","power","power"
"100-100","power spectrum","spectrum","spectrum"
"100-100","sea surface temperature","sea","sea"
"100-100","sea surface temperature","surface","surface"
"100-100","sea surface temperature","temperature","temperature"
"100-100","sst","sst","SST"
"100-100","southern ocean","southern","southern"
"100-100","southern ocean","ocean","ocean"
"100-100","variance components","variance","variance"
"100-100","variance components","components","components"
"100-101","american redstart","american","American"
"100-101","american redstart","redstart","restart"
"100-101","carryover effects","carryover","carryover"
"100-101","carryover effects","effects","effects"
"100-101","experimentally upgraded territories","experimentally","experimentally"
"100-101","experimentally upgraded territories","upgraded","upgraded"
"100-101","experimentally upgraded territories","territories","territories"
"100-101","migratory birds","migratory","migratory"
"100-101","migratory birds","birds","birds"
"100-101","nonbreeding winter habitat","nonbreeding","non breeding"
"100-101","nonbreeding winter habitat","winter","winter"
"100-101","nonbreeding winter habitat","habitat","habitat"
"100-101","population dynamics","population","population"
"100-101","population dynamics","dynamics","dynamics"
"100-101","removal experiments","removal","removal"
"100-101","removal experiments","experiments","experiments"
"100-101","seasonal interactions","seasonal","seasonal"
"100-101","seasonal interactions","interactions","interactions"
"100-101","setophaga ruticilla","setophaga","esophageal"
"100-101","setophaga ruticilla","ruticilla","rustically"
"100-101","stable-carbon isotopes","stable","stable"
"100-101","stable-carbon isotopes","carbon","carbon"
"100-101","stable-carbon isotopes","isotopes","isotopes"
"100-102","cestrum diurnum","cestrum","strum"
"100-102","cestrum diurnum","diurnum","diurnal"
"100-102","dispersal kernel","dispersal","dispersal"
"100-102","dispersal kernel","kernel","kernel"
"100-102","facilitation","facilitation","facilitation"
"100-102","frugivory","frugivory","frugality"
"100-102","indirect interactions","indirect","indirect"
"100-102","indirect interactions","interactions","interactions"
"100-102","mimus polyglottus","mimus","minus"
"100-102","mimus polyglottus","polyglottus","polyglots"
"100-102","puerto rico","puerto","Puerto"
"100-102","puerto rico","rico","Rico"
"100-102","seed dispersal","seed","seed"
"100-102","seed dispersal","dispersal","dispersal"
"100-102","solanum americanum","solanum","solarium"
"100-102","solanum americanum","americanum","americium"
"100-102","tyrannus dominicensis","tyrannus","tyrannous"
"100-102","tyrannus dominicensis","dominicensis","dominatrices"
"100-103","biodiversity","diversity","diversity"
"100-103","community assembly","community","community"
"100-103","community assembly","assembly","assembly"
"100-103","costa rica","costa","coats"
"100-103","costa rica","rica","Erica"
"100-103","deforestation","deforestation","deforestation"
"100-103","functional diversity","functional","functional"
"100-103","functional diversity","diversity","diversity"
"100-103","null models","null","null"
"100-103","null models","models","models"
"100-103","tropical plant communities","tropical","tropical"
"100-103","tropical plant communities","plant","plant"
"100-103","tropical plant communities","communities","communities"
"100-104","egg development","egg","egg"
"100-104","egg development","development","development"
"100-104","induced defense","induced","induced"
"100-104","induced defense","defense","defense"
"100-104","life history","life","life"
"100-104","life history","history","history"
"100-104","niche shift","niche","niche"
"100-104","niche shift","shift","shift"
"100-104","phenotypic plasticity","phenotypic","phenotypic"
"100-104","phenotypic plasticity","plasticity","plasticity"
"100-104","salmonid","salmonid","salmon id"
"100-104","timing of hatching","timing","timing"
"100-104","timing of hatching","of","of"
"100-104","timing of hatching","hatching","hatching"
"100-105","defense evolution","defense","defense"
"100-105","defense evolution","evolution","evolution"
"100-105","one-predator-two-prey system","one","one"
"100-105","one-predator-two-prey system","predator","predator"
"100-105","one-predator-two-prey system","two","two"
"100-105","one-predator-two-prey system","prey","prey"
"100-105","one-predator-two-prey system","system","system"
"100-105","optimal diet choice","optimal","optimal"
"100-105","optimal diet choice","diet","diet"
"100-105","optimal diet choice","choice","choice"
"100-105","population dynamics","population","population"
"100-105","population dynamics","dynamics","dynamics"
"100-105","theory","theory","theory"
"100-106","detritivore","detritivore","retributive"
"100-106","diet analyses","diet","diet"
"100-106","diet analyses","analyses","analyses"
"100-106","diversity","diversity","diversity"
"100-106","fish","fish","fish"
"100-106","food-chain length","food","food"
"100-106","food-chain length","chain","chain"
"100-106","food-chain length","length","length"
"100-106","morphology","morphology","morphology"
"100-106","neotropics","neotropics","tropics"
"100-106","predation","predation","depredation"
"100-106","prey vulnerability","prey","prey"
"100-106","prey vulnerability","vulnerability","vulnerability"
"100-106","river","river","river"
"100-106","stable isotope ratios","stable","stable"
"100-106","stable isotope ratios","isotope","isotope"
"100-106","stable isotope ratios","ratios","ratios"
"100-106","trophic level","trophic","tropic"
"100-106","trophic level","level","level"
"100-107","bathymetric gradients","bathymetric","barometric"
"100-107","bathymetric gradients","gradients","gradients"
"100-107","history","history","history"
"100-107","latitudinal gradients","latitudinal","latitudinal"
"100-107","latitudinal gradients","gradients","gradients"
"100-107","marine mollusks","marine","marine"
"100-107","marine mollusks","mollusks","mollusks"
"100-107","productivity","productivity","productivity"
"100-107","species diversity","diversity","diversity"
"100-108","abundance index","abundance","abundance"
"100-108","abundance index","index","index"
"100-108","amphibian monitoring","amphibian","amphibian"
"100-108","amphibian monitoring","monitoring","monitoring"
"100-108","anurans","anurans","insurance"
"100-108","detection probability","detection","detection"
"100-108","detection probability","probability","probability"
"100-108","frogs","frogs","frogs"
"100-108","latent class model","latent","latent"
"100-108","latent class model","class","class"
"100-108","latent class model","model","model"
"100-108","naamp","naamp","NAACP"
"100-108","population index","population","population"
"100-108","population index","index","index"
"100-108","site occupancy","site","site"
"100-108","site occupancy","occupancy","occupancy"
"100-109","native plant species","native","native"
"100-109","native plant species","plant","plant"
"100-109","native plant species","species","species"
"100-109","non-indigenous plant species","non","non"
"100-109","non-indigenous plant species","indigenous","indigenous"
"100-109","non-indigenous plant species","plant","plant"
"100-109","non-indigenous plant species","species","species"
"100-109","patterns of invasion","patterns","patterns"
"100-109","patterns of invasion","of","of"
"100-109","patterns of invasion","invasion","invasion"
"100-109","species densities","species","species"
"100-109","species densities","densities","densities"
"100-11","additive partitioning","additive","additive"
"100-11","additive partitioning","partitioning","partitioning"
"100-11","bee","bee","bee"
"100-11","ecuador","ecuador","Ecuador"
"100-11","temporal scale","temporal","temporal"
"100-11","temporal scale","scale","scale"
"100-11","trap nest","trap","trap"
"100-11","trap nest","nest","nest"
"100-11","wasp","wasp","wasp"
"100-110","african buffalo","african","African"
"100-110","african buffalo","buffalo","buffalo"
"100-110","chronic disease","chronic","chronic"
"100-110","chronic disease","disease","disease"
"100-110","fecundity","fecundity","fecundity"
"100-110","mortality","mortality","mortality"
"100-110","mycobacterium bovis","mycobacterium","bacterium"
"100-110","mycobacterium bovis","bovis","bovines"
"100-110","population age structure","population","population"
"100-110","population age structure","age","age"
"100-110","population age structure","structure","structure"
"100-110","population growth rate","population","population"
"100-110","population growth rate","growth","growth"
"100-110","population growth rate","rate","rate"
"100-110","population resilience","population","population"
"100-110","population resilience","resilience","resilience"
"100-110","syncerus caffer","syncerus","synchronous"
"100-110","syncerus caffer","caffer","naffer"
"100-110","tuberculosis","tuberculosis","tuberculosis"
"100-111","coexistence theory","coexistence","coexistence"
"100-111","coexistence theory","theory","theory"
"100-111","environmental stochasticity","environmental","environmental"
"100-111","environmental stochasticity","stochasticity","stochastic"
"100-111","extinction risk","extinction","extinction"
"100-111","extinction risk","risk","risk"
"100-111","introduced species","introduced","introduced"
"100-111","introduced species","species","species"
"100-111","population viability","population","population"
"100-111","population viability","viability","viability"
"100-111","predator","predator","predator"
"100-111","prey","prey","prey"
"100-111","process error","process","process"
"100-111","process error","error","error"
"100-111","process noise","process","process"
"100-111","process noise","noise","noise"
"100-111","trigger harvest","trigger","trigger"
"100-111","trigger harvest","harvest","harvest"
"100-112","apostatic selection","apostatic","apostatize"
"100-112","apostatic selection","selection","selection"
"100-112","contrast effect","contrast","contrast"
"100-112","contrast effect","effect","effect"
"100-112","dama dama","dama","dams"
"100-112","dama dama","dama","dams"
"100-112","fallow deer","fallow","fallow"
"100-112","fallow deer","deer","deer"
"100-112","frequency dependence","frequency","frequency"
"100-112","frequency dependence","dependence","dependence"
"100-112","mammalian herbivory","mammalian","mammalian"
"100-112","mammalian herbivory","herbivory","herbivore"
"100-112","plant secondary compounds","plant","plant"
"100-112","plant secondary compounds","secondary","secondary"
"100-112","plant secondary compounds","compounds","compounds"
"100-112","tannic acid","tannic","tannin"
"100-112","tannic acid","acid","acid"
"100-112","tannin","tannin","tannin"
"100-113","competition","competition","competition"
"100-113","complementarity","complementarity","complementary"
"100-113","diversity-ecosystem function","diversity","diversity"
"100-113","diversity-ecosystem function","ecosystem","ecosystem"
"100-113","diversity-ecosystem function","function","function"
"100-113","epiphytes","epiphytes","neophytes"
"100-113","foundation species","foundation","foundation"
"100-113","foundation species","species","species"
"100-113","marine invertebrate","marine","marine"
"100-113","marine invertebrate","invertebrate","invertebrate"
"100-113","mutualism","mutualism","mutual ism"
"100-113","predation","predation","depredation"
"100-113","redundancy","redundancy","redundancy"
"100-113","resource partitioning","resource","resource"
"100-113","resource partitioning","partitioning","partitioning"
"100-113","seaweed","seaweed","seaweed"
"100-114","cycling","cycling","cycling"
"100-114","dissolved organic carbon","dissolved","dissolved"
"100-114","dissolved organic carbon","organic","organic"
"100-114","dissolved organic carbon","carbon","carbon"
"100-114","dissolved organic nitrogen","dissolved","dissolved"
"100-114","dissolved organic nitrogen","organic","organic"
"100-114","dissolved organic nitrogen","nitrogen","nitrogen"
"100-114","forest stream","forest","forest"
"100-114","forest stream","stream","stream"
"100-114","headwater catchment","headwater","headwaters"
"100-114","headwater catchment","catchment","catchment"
"100-114","hydrologic losses","hydrologic","hydro logic"
"100-114","hydrologic losses","losses","losses"
"100-114","nutrient uptake","nutrient","nutrient"
"100-114","nutrient uptake","uptake","uptake"
"100-114","spiraling","spiraling","spiraling"
"100-115","africa","africa","Africa"
"100-115","climate","climate","climate"
"100-115","climatic potential for richness","climatic","climatic"
"100-115","climatic potential for richness","potential","potential"
"100-115","climatic potential for richness","for","for"
"100-115","climatic potential for richness","richness","richness"
"100-115","diversity gradients","diversity","diversity"
"100-115","diversity gradients","gradients","gradients"
"100-115","interim general model","interim","interim"
"100-115","interim general model","general","general"
"100-115","interim general model","model","model"
"100-115","kenya","kenya","Kenya"
"100-115","model evaluation","model","model"
"100-115","model evaluation","evaluation","evaluation"
"100-115","species richness","species","species"
"100-115","species richness","richness","richness"
"100-115","water-energy dynamics","water","water"
"100-115","water-energy dynamics","energy","energy"
"100-115","water-energy dynamics","dynamics","dynamics"
"100-115","woody plant diversity","woody","woody"
"100-115","woody plant diversity","plant","plant"
"100-115","woody plant diversity","diversity","diversity"
"100-116","desiccation","desiccation","desiccation"
"100-116","ecophysiology","ecophysiology","psychophysiology"
"100-116","fucus gardneri","fucus","ficus"
"100-116","fucus gardneri","gardneri","gardener"
"100-116","intertidal","intertidal","inter tidal"
"100-116","photosynthesis","photosynthesis","photosynthesis"
"100-116","seaweed","seaweed","seaweed"
"100-116","stress","stress","stress"
"100-117","diversification","diversification","diversification"
"100-117","extinction","extinction","extinction"
"100-117","latitudinal diversity gradient","latitudinal","latitudinal"
"100-117","latitudinal diversity gradient","diversity","diversity"
"100-117","latitudinal diversity gradient","gradient","gradient"
"100-117","new world birds","new","new"
"100-117","new world birds","world","world"
"100-117","new world birds","birds","birds"
"100-117","speciation","speciation","specialization"
"100-117","species richness","species","species"
"100-117","species richness","richness","richness"
"100-118","canopy gaps","canopy","canopy"
"100-118","canopy gaps","gaps","gaps"
"100-118","french guiana","french","french"
"100-118","french guiana","guiana","Guiana"
"100-118","regeneration niche","regeneration","regeneration"
"100-118","regeneration niche","niche","niche"
"100-118","relative growth rate","relative","relative"
"100-118","relative growth rate","growth","growth"
"100-118","relative growth rate","rate","rate"
"100-118","seed size","seed","seed"
"100-118","seed size","size","size"
"100-118","shade tolerance","shade","shade"
"100-118","shade tolerance","tolerance","tolerance"
"100-118","soil moisture","soil","soil"
"100-118","soil moisture","moisture","moisture"
"100-118","tropical forest","tropical","tropical"
"100-118","tropical forest","forest","forest"
"100-118","tropical forest","s","s"
"100-119","bird populations","bird","bird"
"100-119","bird populations","populations","populations"
"100-119","clutch size","clutch","clutch"
"100-119","clutch size","size","size"
"100-119","environmental variation","environmental","environmental"
"100-119","environmental variation","variation","variation"
"100-119","genetic variation in clutch size","genetic","genetic"
"100-119","genetic variation in clutch size","variation","variation"
"100-119","genetic variation in clutch size","in","in"
"100-119","genetic variation in clutch size","clutch","clutch"
"100-119","genetic variation in clutch size","size","size"
"100-119","genotype-environment correlation","genotype","genotype"
"100-119","genotype-environment correlation","environment","environment"
"100-119","genotype-environment correlation","correlation","correlation"
"100-119","genotype-environment interaction","genotype","genotype"
"100-119","genotype-environment interaction","environment","environment"
"100-119","genotype-environment interaction","interaction","interaction"
"100-119","heritability","heritability","irritability"
"100-119","phenotypic plasticity","phenotypic","phenotypic"
"100-119","phenotypic plasticity","plasticity","plasticity"
"100-119","quantitative genetics","quantitative","quantitative"
"100-119","quantitative genetics","genetics","genetics"
"100-119","reaction norm","reaction","reaction"
"100-119","reaction norm","norm","norm"
"100-119","selection","selection","selection"
"100-120","gastropods","gastropods","gastropods"
"100-120","grasshoppers","grasshoppers","grasshoppers"
"100-120","interaction strength","interaction","interaction"
"100-120","interaction strength","strength","strength"
"100-120","latitude","latitude","latitude"
"100-120","plant-herbivore interactions","plant","plant"
"100-120","plant-herbivore interactions","herbivore","herbivore"
"100-120","plant-herbivore interactions","interactions","interactions"
"100-120","salt marsh","salt","salt"
"100-120","salt marsh","marsh","marsh"
"100-120","spartina","spartina","spartan"
"100-120","top-down effects","top","top"
"100-120","top-down effects","down","down"
"100-120","top-down effects","effects","effects"
"100-121","castanopsis sempervirens","castanopsis","castanets"
"100-121","castanopsis sempervirens","sempervirens","servicemen"
"100-121","chinquapin","chinquapin","chinstrap"
"100-121","food hoarding","food","food"
"100-121","food hoarding","hoarding","hoarding"
"100-121","granivory","granivory","gran ivory"
"100-121","scatterhoarding","scatterhoarding","scatter hoarding"
"100-121","secondary seed dispersal","secondary","secondary"
"100-121","secondary seed dispersal","seed","seed"
"100-121","secondary seed dispersal","dispersal","dispersal"
"100-122","environmental control","environmental","environmental"
"100-122","environmental control","control","control"
"100-122","haar transform","haar","hear"
"100-122","haar transform","transform","transform"
"100-122","pattern and scale","pattern","pattern"
"100-122","pattern and scale","and","and"
"100-122","pattern and scale","scale","scale"
"100-122","remote sensing","remote","remote"
"100-122","remote sensing","sensing","sensing"
"100-122","sierra nevada","sierra","sierra"
"100-122","sierra nevada","nevada","Nevada"
"100-122","california","california","California"
"100-122","usa","usa","USA"
"100-122","spatial pattern","spatial","spatial"
"100-122","spatial pattern","pattern","pattern"
"100-122","spatial scale","spatial","spatial"
"100-122","spatial scale","scale","scale"
"100-122","statistical analysis","statistical","statistical"
"100-122","statistical analysis","analysis","analysis"
"100-122","vegetation analysis","vegetation","vegetation"
"100-122","vegetation analysis","analysis","analysis"
"100-122","wavelet-coefficient regression","wavelet","wavelet"
"100-122","wavelet-coefficient regression","coefficient","coefficient"
"100-122","wavelet-coefficient regression","regression","regression"
"100-122","wavelets","wavelets","wavelets"
"100-125","avion demography","avion","avian"
"100-125","avion demography","demography","demography"
"100-125","bet-hedging","bet","bet"
"100-125","bet-hedging","hedging","hedging"
"100-125","fecundity","fecundity","fecundity"
"100-125","fecundity-survival trade-offs","fecundity","fecundity"
"100-125","fecundity-survival trade-offs","survival","survival"
"100-125","fecundity-survival trade-offs","trade","trade"
"100-125","fecundity-survival trade-offs","offs","offs"
"100-125","grouse","grouse","grouse"
"100-125","lagopus lagopus","lagopus","lag opus"
"100-125","lagopus lagopus","lagopus","lag opus"
"100-125","lagopus leucurus","lagopus","lag opus"
"100-125","lagopus leucurus","leucurus","curlers"
"100-125","lambda","lambda","lambda"
"100-125","life history strategies","life","life"
"100-125","life history strategies","history","history"
"100-125","life history strategies","strategies","strategies"
"100-125","survival","survival","survival"
"100-125","white-tailed ptarmigan","white","white"
"100-125","white-tailed ptarmigan","tailed","tailed"
"100-125","white-tailed ptarmigan","ptarmigan","ptarmigan"
"100-125","willow ptarmigan","willow","willow"
"100-125","willow ptarmigan","ptarmigan","ptarmigan"
"100-126","biomarker","biomarker","bio marker"
"100-126","collembola","collembola","collaborate"
"100-126","fauna","fauna","fauna"
"100-126","feeding guild","feeding","feeding"
"100-126","feeding guild","guild","guild"
"100-126","food web","food","food"
"100-126","food web","web","web"
"100-126","lipids","lipids","lipids"
"100-126","soil","soil","soil"
"100-126","trophic transfer","trophic","tropic"
"100-126","trophic transfer","transfer","transfer"
"100-127","body condition","body","body"
"100-127","body condition","condition","condition"
"100-127","hemitragus jemlahicus","hemitragus","hermitages"
"100-127","hemitragus jemlahicus","jemlahicus","vehicular"
"100-127","himalayan tahr","himalayan","Himalayan"
"100-127","himalayan tahr","tahr","tar"
"100-127","kidney fat index","kidney","kidney"
"100-127","kidney fat index","fat","fat"
"100-127","kidney fat index","index","index"
"100-127","reproductive costs","reproductive","reproductive"
"100-127","reproductive costs","costs","costs"
"100-127","sexual dimorphism","sexual","sexual"
"100-127","sexual dimorphism","dimorphism","isomorphism"
"100-127","sexual selection","sexual","sexual"
"100-127","sexual selection","selection","selection"
"100-127","ungulates","ungulates","ungulates"
"100-128","ecological processes","ecological","ecological"
"100-128","ecological processes","processes","processes"
"100-128","experimental design","experimental","experimental"
"100-128","experimental design","design","design"
"100-128","grazing","grazing","grazing"
"100-128","jensen's inequality","jensens","nonsense"
"100-128","jensen's inequality","inequality","inequality"
"100-128","mean intensity","mean","mean"
"100-128","mean intensity","intensity","intensity"
"100-128","rock pools","rock","rock"
"100-128","rock pools","pools","pools"
"100-128","spatial variance","spatial","spatial"
"100-128","spatial variance","variance","variance"
"100-129","algal assemblages","algal","algal"
"100-129","algal assemblages","assemblages","assemblages"
"100-129","chthamalus stellatus","chthamalus","thalamus"
"100-129","chthamalus stellatus","stellatus","tessellate"
"100-129","climate change effects","climate","climate"
"100-129","climate change effects","change","change"
"100-129","climate change effects","effects","effects"
"100-129","predicting","predicting","predicting"
"100-129","disturbance intensity","disturbance","disturbance"
"100-129","disturbance intensity","intensity","intensity"
"100-129","mediterranean","mediterranean","Mediterranean"
"100-129","northwest","northwest","northwest"
"100-129","mid-shore marine invertebrates","mid","mid"
"100-129","mid-shore marine invertebrates","shore","shore"
"100-129","mid-shore marine invertebrates","marine","marine"
"100-129","mid-shore marine invertebrates","invertebrates","invertebrates"
"100-129","patch size","patch","patch"
"100-129","patch size","size","size"
"100-129","species distribution","species","species"
"100-129","species distribution","distribution","distribution"
"100-129","abundance","abundance","abundance"
"100-129","diversity","diversity","diversity"
"100-129","temporal variation","temporal","temporal"
"100-129","temporal variation","variation","variation"
"100-13","aedes aegypti","aedes","aides"
"100-13","aedes aegypti","aegypti","eucalypti"
"100-13","aedes albopictus","aedes","aides"
"100-13","aedes albopictus","albopictus","subtropical"
"100-13","arborvirus model system","arborvirus","arbor virus"
"100-13","arborvirus model system","model","model"
"100-13","arborvirus model system","system","system"
"100-13","indirect effects","indirect","indirect"
"100-13","indirect effects","effects","effects"
"100-13","mosquitoes","mosquitoes","mosquitoes"
"100-13","sindbis virus (sinv)","sindbis","sinusitis"
"100-13","sindbis virus (sinv)","virus","virus"
"100-13","sindbis virus (sinv)","sinv","sin"
"100-13","susceptibility to infection","susceptibility","susceptibility"
"100-13","susceptibility to infection","to","to"
"100-13","susceptibility to infection","infection","infection"
"100-13","trait-mediated effects","trait","trait"
"100-13","trait-mediated effects","mediated","mediated"
"100-13","trait-mediated effects","effects","effects"
"100-130","behavioral ecology","behavioral","behavioral"
"100-130","behavioral ecology","ecology","ecology"
"100-130","cost function","cost","cost"
"100-130","cost function","function","function"
"100-130","dispersal","dispersal","dispersal"
"100-130","field experiments","field","field"
"100-130","field experiments","experiments","experiments"
"100-130","functional connectivity","functional","functional"
"100-130","functional connectivity","connectivity","connectivity"
"100-130","gap-crossing behavior","gap","gap"
"100-130","gap-crossing behavior","crossing","crossing"
"100-130","gap-crossing behavior","behavior","behavior"
"100-130","landscape anisotropy","landscape","landscape"
"100-130","landscape anisotropy","anisotropy","misanthropy"
"100-130","movement","movement","movement"
"100-130","travel costs","travel","travel"
"100-130","travel costs","costs","costs"
"100-131","climate change","climate","climate"
"100-131","climate change","change","change"
"100-131","molecular markers","molecular","molecular"
"100-131","molecular markers","markers","markers"
"100-131","paleoecology","paleoecology","paleontology"
"100-131","range expansion","range","range"
"100-131","range expansion","expansion","expansion"
"100-132","conditional interactions","conditional","conditional"
"100-132","conditional interactions","interactions","interactions"
"100-132","context-dependency","context","context"
"100-132","context-dependency","dependency","dependency"
"100-132","demographic model","demographic","demographic"
"100-132","demographic model","model","model"
"100-132","hermit crab","hermit","hermit"
"100-132","hermit crab","crab","crab"
"100-132","hydractinia symbiolongicarpus","hydractinia","hydration"
"100-132","hydractinia symbiolongicarpus","symbiolongicarpus","microbiological"
"100-132","interaction modifications","interaction","interaction"
"100-132","interaction modifications","modifications","modifications"
"100-132","mutualism","mutualism","mutual ism"
"100-132","net effects","net","net"
"100-132","net effects","effects","effects"
"100-132","pagurus longicarpus","pagurus","pa gurus"
"100-132","pagurus longicarpus","longicarpus","nonsurgical"
"100-132","symbiosis","symbiosis","symbiosis"
"100-132","trait-mediated indirect interactions","trait","trait"
"100-132","trait-mediated indirect interactions","mediated","mediated"
"100-132","trait-mediated indirect interactions","indirect","indirect"
"100-132","trait-mediated indirect interactions","interactions","interactions"
"100-133","field study","field","field"
"100-133","field study","study","study"
"100-133","floral larcenists","floral","floral"
"100-133","floral larcenists","larcenists","larcenists"
"100-133","floral visitation rates","floral","floral"
"100-133","floral visitation rates","visitation","visitation"
"100-133","floral visitation rates","rates","rates"
"100-133","flower-visitor community","flower","flower"
"100-133","flower-visitor community","visitor","visitor"
"100-133","flower-visitor community","community","community"
"100-133","hummingbirds","hummingbirds","hummingbirds"
"100-133","insects","insects","insects"
"100-133","ipomopsis aggregata","ipomopsis","solipsism"
"100-133","ipomopsis aggregata","aggregata","aggregate"
"100-133","long-term study","long","long"
"100-133","long-term study","term","term"
"100-133","long-term study","study","study"
"100-133","path analysis","path","path"
"100-133","path analysis","analysis","analysis"
"100-133","plant population dynamics","plant","plant"
"100-133","plant population dynamics","population","population"
"100-133","plant population dynamics","dynamics","dynamics"
"100-133","pollen delivery","pollen","pollen"
"100-133","pollen delivery","delivery","delivery"
"100-133","pollination services","pollination","pollination"
"100-133","pollination services","services","services"
"100-133","structural equation modeling","structural","structural"
"100-133","structural equation modeling","equation","equation"
"100-133","structural equation modeling","modeling","modeling"
